Date,Benchmark,,,G20,,,G40,,,G60,,,G80,,,G100,,
11/09/2020,"160,203763","260,203763","-1,290185611","408,6763558","508,6763558","0,7847427969","417,0860116","517,0860116","0,9033350544","384,4454725","484,4454725","0,351446167","365,3656565","465,3656565","-0,01271737005","382,4527783","482,4527783","-0,3165191082"
18/09/2020,"160,2659793","260,2659793","0,02391060732","417,0630293","517,0630293","1,648724853","427,7234159","527,7234159","2,057182763","395,0938732","495,0938732","2,1980597","372,1564961","472,1564961","1,459248121","388,1856196","488,1856196","1,188269932"
25/09/2020,"155,7994166","255,7994166","-1,716153111","414,2037684","514,2037684","-0,5529811141","415,058681","515,058681","-2,399881172","382,3984311","482,3984311","-2,564249486","358,5492538","458,5492538","-2,881934785","373,33883","473,33883","-3,041218136"
02/10/2020,"159,9746868","259,9746868","1,632243832","421,0988089","521,0988089","1,34091598","426,9085707","526,9085707","2,300687308","394,1080228","494,1080228","2,427369358","367,7246697","467,7246697","2,00096627","382,7981273","482,7981273","1,998419885"
09/10/2020,"169,468108","269,468108","3,651671367","434,7801216","534,7801216","2,6254738","441,9799915","541,9799915","2,860348386","409,1447194","509,1447194","3,043200253","382,8258514","482,8258514","3,228647681","399,3566856","499,3566856","3,429706406"
16/10/2020,"168,6581913","268,6581913","-0,3005612449","437,3074363","537,3074363","0,4725894995","441,316312","541,316312","-0,1224546128","408,5001777","508,5001777","-0,1265930246","381,2995708","481,2995708","-0,3161141011","396,2807483","496,2807483","-0,6159799976"
23/10/2020,"167,6416999","267,6416999","-0,3783586106","433,7773841","533,7773841","-0,6569892694","435,3439606","535,3439606","-1,103301576","402,0366849","502,0366849","-1,271089585","376,7137851","476,7137851","-0,9527923934","394,0970596","494,0970596","-0,4400107615"
30/10/2020,"152,5439342","252,5439342","-5,641036395","414,1609873","514,1609873","-3,675014601","415,3705076","515,3705076","-3,730957005","380,62899","480,62899","-4,264169441","355,3570046","455,3570046","-4,480000614","370,0379697","470,0379697","-4,869304407"
06/11/2020,"172,1274342","272,1274342","7,754492327","434,3157584","534,3157584","3,91993395","436,6240748","536,6240748","4,123939358","401,2950524","501,2950524","4,299795233","377,4731896","477,4731896","4,856889161","392,2037276","492,2037276","4,715737734"
13/11/2020,"178,8041677","278,8041677","2,453531934","452,342579","552,342579","3,373814138","456,7937889","556,7937889","3,758630119","422,4153921","522,4153921","4,213155426","401,5720087","501,5720087","5,047156495","424,2671266","524,2671266","6,514253591"
20/11/2020,"180,0750865","280,0750865","0,4558464138","456,7832445","556,7832445","0,8039694329","461,5155315","561,5155315","0,8480235761","427,4118651","527,4118651","0,9564176469","409,042528","509,042528","1,489421094","433,1209005","533,1209005","1,68879059"
27/11/2020,"186,9248341","286,9248341","2,445682579","468,7765869","568,7765869","2,154041545","474,2398388","574,2398388","2,266065066","439,6734504","539,6734504","2,324859585","422,8554016","522,8554016","2,713500904","449,9005669","549,9005669","3,147441112"
04/12/2020,"191,2818157","291,2818157","1,518509757","472,8687549","572,8687549","0,7194684335","481,2518437","581,2518437","1,221093422","444,3703403","544,3703403","0,8703207276","426,7300006","526,7300006","0,7410459925","454,5858741","554,5858741","0,8520280724"
11/12/2020,"189,3788783","289,3788783","-0,6532976991","479,5050738","579,5050738","1,158436176","484,2209219","584,2209219","0,5108075324","444,2797128","544,2797128","-0,01664813332","424,5293464","524,5293464","-0,4177954925","450,7483368","550,7483368","-0,6919644872"
18/12/2020,"194,3677462","294,3677462","1,72399172","487,3753648","587,3753648","1,358105624","491,9838442","591,9838442","1,328764857","450,1738413","550,1738413","1,082922689","428,2975542","528,2975542","0,7183978982","453,595502","553,595502","0,5169630137"
25/12/2020,"193,6418461","293,6418461","-0,246596344","488,0534926","588,0534926","0,1154505008","491,4301118","591,4301118","-0,09353843106","450,5051488","550,5051488","0,06021869364","429,5824879","529,5824879","0,2432215879","454,252113","554,252113","0,118608442"
01/01/2021,"197,1279964","297,1279964","1,187211682","490,7253849","590,7253849","0,4543621173","495,5068549","595,5068549","0,6893025936","455,4310523","555,4310523","0,8947969898","433,4186435","533,4186435","0,724373575","458,3193936","558,3193936","0,7338322227"
08/01/2021,"204,2437327","304,2437327","2,394838718","489,4726484","589,4726484","-0,2120674906","508,9234193","608,9234193","2,252965569","470,7182389","570,7182389","2,752310397","448,8370612","548,8370612","2,890490966","475,3986918","575,3986918","3,059055157"
15/01/2021,"200,0288756","300,0288756","-1,385355439","491,0886701","591,0886701","0,2741470201","508,7652876","608,7652876","-0,02596906195","471,7167477","571,7167477","0,1749565253","449,8786647","549,8786647","0,1897837398","477,8345112","577,8345112","0,4233272398"
22/01/2021,"204,5844346","304,5844346","1,51837352","500,2301842","600,2301842","1,54655546","516,085627","616,085627","1,202489621","476,1117852","576,1117852","0,7687438784","453,1871695","553,1871695","0,6016790635","479,9889861","579,9889861","0,3728532752"
